ind,pop,lat,long,sex,color,AT16a,AT16b,AT58a,AT58b,AT19a,AT19b,AM5_64a,AM5_64b,AT53a,AT53b,B38_1a,B38_1b,CorAT64a,CorAT64b,PnMs16a,PnMs16b,TvM1a,TvM1b
5852,4,-38.929176,177.073344,F,bl,138,140,133,133,264,270,259,259,259,265,NA,NA,186,186,NA,NA,NA,NA
5853,4,-38.933489,177.042976,F,bl,140,144,133,149,258,276,255,259,257,265,NA,NA,186,198,228,248,223,227
5854,4,-38.925436,177.076843,F,bl,138,140,133,133,258,264,259,259,257,265,89,91,186,186,228,248,223,235
5855,4,-38.930082,177.073743,M,bl,136,144,133,149,258,264,255,287,255,265,89,91,178,186,228,248,223,223
5856,4,-38.925916,177.076028,M,bl,136,138,133,149,276,278,255,299,261,269,NA,NA,166,176,NA,NA,223,233
5857,4,-38.932632,177.038908,F,bl,NA,NA,145,145,NA,NA,NA,NA,NA,NA,89,89,166,178,228,248,227,235
5860,4,-38.93416,177.042102,M,bl,136,138,133,149,264,270,255,255,255,255,85,91,178,180,NA,NA,223,223
5402,5,-38.964669,177.032583,F,bl,140,144,133,133,264,270,255,291,255,259,85,89,166,180,NA,NA,NA,NA
5403,5,-38.963327,177.035358,F,bl,126,138,133,153,264,278,255,255,219,259,87,89,NA,NA,NA,NA,NA,NA
5406,5,-38.967669,177.030873,F,bl,138,138,133,153,258,270,259,287,241,255,83,85,180,180,228,248,223,235
5409,5,-38.967147,177.056394,F,bl,140,142,133,149,278,278,255,255,255,261,85,87,186,186,228,248,233,233
5410,5,-38.963472,177.041719,F,gr,140,140,NA,NA,NA,NA,NA,NA,257,265,NA,NA,176,176,248,248,223,227
5411,5,-38.963648,177.044409,F,gr,130,138,133,133,258,264,255,291,257,269,85,89,166,166,228,228,223,233
5413,5,-38.963893,177.047172,F,bl,138,142,133,151,NA,NA,255,259,257,271,NA,NA,166,166,NA,NA,227,227
5414,5,-38.963981,177.046207,M,gr,138,138,145,149,270,278,255,255,241,253,83,89,180,180,228,228,229,229
5415,5,-38.97019,177.054006,F,bl,138,144,133,147,258,258,255,291,241,263,85,89,166,166,228,248,223,223
5417,5,-38.962096,177.037528,F,bl,138,138,133,149,258,276,255,255,257,269,85,87,178,178,248,250,223,233
5418,5,-38.963563,177.040951,M,br,138,144,133,133,NA,NA,287,287,255,257,89,91,NA,NA,NA,NA,223,233
5420,5,-38.963118,177.035923,M,br,136,138,133,133,258,276,255,259,257,259,85,91,NA,NA,NA,NA,NA,NA
5463,5,-38.966519,177.055295,M,br,138,140,133,155,266,276,255,287,219,269,NA,NA,NA,NA,NA,NA,229,229
5466,5,-38.96581,177.05493,F,bl,136,142,133,149,258,264,255,255,219,263,83,91,NA,NA,NA,NA,NA,NA
5475,5,-38.962157,177.02247,M,gr,140,142,133,153,264,264,255,255,255,257,85,89,166,166,NA,NA,NA,NA
5861,5,-38.956634,177.013848,F,bl,142,144,133,149,258,276,255,291,257,261,87,89,138,166,228,228,223,223
5862,5,-38.96304,177.01581,M,br,138,138,133,155,264,276,255,255,253,257,87,95,138,178,228,228,233,233
5863,5,-38.969676,177.053745,F,gr,136,142,133,153,258,278,259,259,257,257,87,87,NA,NA,228,228,223,233
5864,5,-38.963083,177.01535,F,bl,126,138,133,149,264,278,255,259,255,259,85,89,166,166,228,248,223,235
5866,5,-38.96533,177.04684,M,bl,126,140,133,133,258,264,255,259,257,257,87,89,186,186,NA,NA,NA,NA
5867,5,-38.963458,177.043925,F,bl,134,136,133,133,270,270,255,259,251,257,83,85,NA,NA,248,248,NA,NA
5869,5,-38.964485,177.051365,F,bl,140,144,133,133,NA,NA,259,259,255,255,85,89,166,166,228,248,227,227
5870,5,-38.956665,177.011921,F,bl,126,142,133,149,258,276,255,255,219,257,87,89,180,180,228,250,223,223
5871,5,-38.959047,177.013698,F,gr,134,140,133,153,258,270,255,255,251,263,NA,NA,166,182,226,228,227,229
5872,5,-38.959993,177.014491,F,bl,136,142,133,151,276,278,255,255,257,261,87,87,NA,NA,228,228,229,229
5873,5,-38.957996,177.011501,M,bl,138,138,133,133,278,278,259,259,257,265,83,87,180,182,226,248,227,237
5874,5,-38.957475,177.010674,F,bl,126,144,133,145,258,270,255,255,257,265,85,89,166,182,228,228,223,223
6363,5,-38.966996,177.012018,F,bl,138,142,133,133,264,278,255,259,255,257,91,91,180,180,248,248,223,229
6364,5,-38.956634,177.013848,F,br,136,136,133,133,270,276,255,259,219,257,89,89,166,180,228,232,223,231
6365,5,-38.963458,177.043925,M,bl,136,136,133,133,258,284,255,287,239,257,85,89,180,180,228,228,223,223
6367,5,-38.966648,177.028862,M,gr,142,144,133,133,258,290,255,259,261,267,85,89,166,166,228,228,223,223
6368,5,-38.956582,177.000367,M,bl,138,144,NA,NA,NA,NA,255,259,265,269,89,89,166,166,NA,NA,223,233
6371,5,-38.96581,177.05493,F,br,126,136,133,149,276,276,259,259,219,255,89,89,166,186,232,248,223,231
6372,5,-38.967147,177.056394,M,bl,138,142,133,133,264,278,255,255,265,265,87,89,180,182,NA,NA,NA,NA
6374,5,-38.956582,177.000367,M,bl,NA,NA,133,133,258,258,259,287,NA,NA,89,89,166,166,228,248,223,223
6375,5,-38.964712,177.026475,F,bl,138,140,133,133,258,264,255,299,269,269,89,89,166,166,NA,NA,223,227
6376,5,-38.96304,177.01581,M,bl,126,140,133,133,NA,NA,255,259,259,269,89,89,166,166,228,228,223,223
6377,5,-38.963648,177.044409,M,bl,138,138,133,149,NA,NA,255,255,265,265,NA,NA,NA,NA,228,250,223,223
6378,5,-38.963327,177.035358,M,bl,138,138,133,133,264,278,255,255,257,269,89,89,166,182,228,228,223,223
6380,5,-38.96337,177.049729,F,bl,136,138,133,133,258,276,255,255,219,255,89,91,186,186,228,248,223,223
6381,5,-38.964485,177.051365,F,bl,136,140,133,145,NA,NA,255,255,255,269,87,89,166,166,228,228,223,231
6382,5,-38.966648,177.028862,M,br,NA,NA,NA,NA,NA,NA,287,299,243,243,89,89,178,178,228,228,223,231
7777,5,-38.956636,177.00037,M,br,136,144,133,133,NA,NA,NA,NA,257,265,89,89,166,166,248,250,NA,NA
7780,5,-38.964669,177.032583,M,bl,126,136,133,133,270,276,255,259,219,257,87,89,NA,NA,NA,NA,NA,NA
7781,5,-38.970169,177.054582,M,bl,138,138,149,149,NA,NA,255,255,255,265,85,89,166,166,NA,NA,223,223
7784,5,-38.966996,177.012018,M,bl,126,136,149,151,276,278,255,259,261,265,79,91,180,186,228,228,223,233
7788,5,-38.964485,177.051365,F,bl,138,140,133,149,258,264,255,259,257,269,89,91,166,166,248,248,223,223
7789,5,-38.964712,177.026475,M,bl,136,140,133,139,258,258,255,255,257,269,87,87,166,166,248,248,223,231
7790,5,-38.9643,177.021022,M,bl,136,138,133,133,NA,NA,255,287,255,257,85,89,166,166,NA,NA,223,233
7792,5,-38.963327,177.020989,M,bl,138,140,149,153,NA,NA,255,259,255,265,89,91,NA,NA,248,248,223,223
7793,5,-38.963083,177.01535,F,bl,NA,NA,133,133,258,258,255,259,NA,NA,91,91,NA,NA,228,248,223,231
6366_C03,5,-38.956634,177.013848,F,bl,136,138,133,133,264,278,255,255,257,265,85,89,166,166,228,248,223,233
6366_E01,5,-38.96337,177.049729,F,gr,136,138,NA,NA,NA,NA,255,287,219,255,87,87,166,166,228,228,223,231
5429,6,-38.914613,177.010211,M,br,138,138,133,149,258,258,255,255,259,271,87,87,166,178,248,250,223,223
5432,6,-38.915244,177.010721,F,bl,126,138,133,133,258,278,255,259,257,269,85,91,178,186,228,228,223,223
5433,6,-38.915709,177.011094,F,bl,NA,NA,133,149,NA,NA,NA,NA,NA,NA,89,91,166,178,248,248,223,227
5434,6,-38.916025,177.011597,M,br,138,144,133,133,278,278,255,255,257,265,87,89,178,178,228,228,227,231
5435,6,-38.914402,177.010061,M,gr,138,140,133,133,264,278,255,255,255,255,85,89,182,186,228,228,NA,NA
5436,6,-38.912834,177.006162,F,bl,138,142,133,149,NA,NA,255,259,NA,NA,85,85,166,186,228,228,223,235
5437,6,-38.910781,177.008895,F,bl,136,138,133,133,NA,NA,255,255,NA,NA,89,91,NA,NA,NA,NA,223,235
5438,6,-38.916253,177.012568,F,bl,138,144,133,155,258,258,255,299,269,269,85,91,178,180,228,250,223,233
5439,6,-38.912814,177.007246,M,bl,142,144,149,149,266,270,259,259,257,269,87,91,166,182,248,248,235,235
5441,6,-38.915598,177.010903,F,gr,136,142,133,149,NA,NA,NA,NA,NA,NA,85,87,178,186,248,248,223,223
5442,6,-38.914206,177.00998,F,bl,138,138,133,149,258,258,255,259,243,243,85,89,166,186,228,250,223,235
5444,6,-38.91287,177.007457,M,br,136,138,NA,NA,258,258,255,255,261,261,91,91,178,180,228,250,223,223
5445,6,-38.916468,177.012857,F,gr,136,138,133,149,258,258,NA,NA,255,261,85,91,166,184,248,248,223,233
5446,6,-38.911771,177.011029,M,bl,138,140,133,155,278,278,255,255,257,265,87,91,166,186,248,250,223,233
5447,6,-38.911822,177.006993,F,bl,138,144,133,149,258,278,255,255,255,257,91,93,166,166,248,248,223,227
5448,6,-38.90994,177.007935,F,bl,138,138,133,149,258,278,255,255,255,265,87,87,166,178,228,228,223,227
5449,6,-38.913483,177.008738,M,br,140,140,NA,NA,258,278,255,255,255,257,85,89,166,178,228,248,235,235
5478,6,-38.910033,177.007352,M,bl,NA,NA,133,133,NA,NA,NA,NA,NA,NA,85,89,166,166,228,228,223,229
5479,6,-38.913312,177.007967,M,bl,110,138,133,149,NA,NA,255,255,219,257,85,91,182,182,228,248,NA,NA
5481,6,-38.909645,177.010954,M,bl,138,142,133,133,270,270,255,259,265,269,91,91,178,182,248,250,223,223
5483,6,-38.913087,177.007688,M,gr,138,138,133,149,NA,NA,255,259,NA,NA,85,85,NA,NA,228,228,NA,NA
5484,6,-38.91218,177.006551,F,br,138,140,NA,NA,NA,NA,255,259,267,269,85,87,178,186,NA,NA,223,223
5486,6,-38.911933,177.006907,M,br,138,138,133,133,258,264,255,259,263,265,89,91,186,186,228,248,NA,NA
5487,6,-38.909899,177.009883,F,gr,NA,NA,133,155,258,270,255,255,NA,NA,91,91,182,186,228,250,227,233
5488,6,-38.916811,177.013881,F,gr,138,138,133,155,264,278,255,299,257,265,87,87,166,176,228,248,223,227
5490,6,-38.912596,177.006241,M,bl,138,144,149,149,NA,NA,NA,NA,259,261,85,85,NA,NA,248,248,NA,NA
5491,6,-38.913479,177.008842,M,br,NA,NA,133,133,NA,NA,NA,NA,NA,NA,85,85,166,178,228,228,235,235
5584,6,-38.905486,177.01023,M,bl,138,142,149,155,258,258,255,259,NA,NA,87,89,166,186,228,248,NA,NA
5585,6,-38.916468,177.012857,M,bl,136,138,133,155,NA,NA,255,255,257,259,87,91,176,178,248,248,227,233
5875,6,-38.910725,177.00663,F,bl,136,138,133,149,258,270,255,255,257,269,NA,NA,NA,NA,228,228,227,235
5877,6,-38.910612,177.006773,F,br,138,138,133,149,258,264,255,255,NA,NA,NA,NA,NA,NA,228,250,223,227
5881,6,-38.916535,177.013265,F,bl,138,140,149,155,NA,NA,255,255,NA,NA,87,87,176,182,228,248,NA,NA
5882,6,-38.916668,177.01333,F,bl,136,138,133,133,270,270,255,255,NA,NA,91,91,180,182,228,250,223,233
5883,6,-38.90606,177.009282,M,bl,128,138,155,155,NA,NA,NA,NA,265,267,91,91,166,178,NA,NA,227,227
5885,6,-38.910999,177.007061,M,bl,136,140,133,149,NA,NA,NA,NA,NA,NA,89,89,178,186,228,250,223,227
5886,6,-38.906536,177.010625,M,br,138,142,133,133,258,270,255,255,255,263,NA,NA,NA,NA,NA,NA,NA,NA
5889,6,-38.911933,177.006907,F,bl,NA,NA,133,149,NA,NA,251,251,NA,NA,87,91,166,178,250,250,NA,NA
5891,6,-38.906114,177.008512,F,bl,110,140,133,155,NA,NA,255,259,257,269,85,89,166,180,248,250,223,235
5894,6,-38.916253,177.012568,F,bl,138,138,133,145,258,258,255,259,259,271,85,91,176,186,228,248,233,235
5896,6,-38.916328,177.012745,F,bl,NA,NA,149,155,NA,NA,NA,NA,257,257,85,91,178,182,228,250,NA,NA
5897,6,-38.916844,177.014229,F,gr,NA,NA,133,133,258,258,NA,NA,263,269,85,89,166,166,228,248,223,231
5898,6,-38.909687,177.009767,M,bl,138,138,133,133,NA,NA,255,255,249,263,89,89,166,166,248,250,231,235
5900,6,-38.908355,177.01096,F,bl,138,138,133,145,258,258,NA,NA,259,271,85,91,176,186,228,248,233,235
6447,7,-38.81933,177.165816,M,gr,136,138,NA,NA,258,264,259,259,NA,NA,85,91,182,182,248,248,233,233
6451,7,-38.813548,177.168066,F,bl,136,138,133,133,NA,NA,NA,NA,NA,NA,87,91,176,180,228,228,223,233
7845,7,-38.817879,177.167021,M,br,140,140,133,153,258,278,255,255,257,261,85,89,182,182,228,248,223,235
7846,7,-38.818249,177.166755,M,br,138,140,NA,NA,224,236,255,259,NA,NA,87,91,NA,NA,NA,NA,233,233
7848,7,-38.815059,177.16819,M,br,138,140,NA,NA,NA,NA,255,259,NA,NA,87,89,180,186,228,228,223,233
7849,7,-38.813236,177.170203,F,br,138,138,133,133,258,278,255,259,257,269,87,91,166,166,220,248,223,235
7850,7,-38.812738,177.167269,M,bl,140,144,133,133,258,270,255,255,257,265,NA,NA,166,186,NA,NA,NA,NA
7851,7,-38.811688,177.167137,M,br,144,144,133,133,NA,NA,255,255,255,261,89,91,180,186,228,248,223,231
7852,7,-38.814284,177.167925,M,br,136,144,NA,NA,258,264,255,255,261,269,87,91,166,186,248,250,223,231
7854,7,-38.805652,177.167205,F,br,138,144,133,133,258,264,255,299,255,271,89,91,178,186,NA,NA,223,233
7856,7,-38.819741,177.165898,M,br,138,144,133,133,258,278,NA,NA,265,271,85,95,178,178,228,250,223,231
7857,7,-38.816536,177.168232,M,bl,140,144,NA,NA,NA,NA,255,255,255,269,85,91,180,180,228,248,223,223
7858,7,-38.812847,177.167252,M,br,140,144,133,149,258,278,255,255,255,265,87,87,166,186,248,248,223,223
7859,7,-38.812686,177.169698,F,br,144,144,133,133,258,264,255,259,255,269,89,89,166,182,220,250,223,227
7860,7,-38.813247,177.1704,M,br,136,140,NA,NA,258,278,NA,NA,NA,NA,85,91,178,180,250,250,223,227
7861,7,-38.811741,177.167163,F,br,136,140,149,153,258,264,255,299,255,257,91,91,166,178,220,250,223,227
7862,7,-38.816762,177.167485,M,br,138,144,133,133,258,258,255,259,NA,NA,89,91,166,186,228,228,223,235
7863,7,-38.812849,177.168935,M,br,138,144,133,149,258,264,255,255,255,265,85,87,166,178,228,248,223,231
7867,7,-38.797061,177.171811,F,bl,134,138,133,149,258,258,255,259,255,269,85,89,166,166,228,228,223,227
7868,7,-38.8101,177.16642,F,bl,136,140,NA,NA,NA,NA,NA,NA,NA,NA,87,91,180,186,228,248,223,223
7869,7,-38.798698,177.167736,M,bl,138,138,133,133,258,258,255,255,257,269,89,89,166,166,228,228,NA,NA
7870,7,-38.802032,177.163083,M,bl,142,144,133,133,258,258,259,299,255,271,87,87,166,166,228,248,231,233
7871,7,-38.798393,177.169908,F,bl,138,140,133,133,258,278,255,259,255,265,87,87,166,166,248,250,233,235
7872,7,-38.807312,177.165206,F,bl,138,144,133,133,258,258,255,259,255,269,85,91,166,166,NA,NA,223,223
7873,7,-38.798425,177.168538,F,br,138,144,133,133,258,264,255,259,257,271,85,89,166,166,228,228,223,233
7874,7,-38.796874,177.173229,F,br,140,140,149,149,258,264,255,259,255,265,89,89,186,186,228,250,NA,NA
7876,7,-38.800634,177.166077,F,bl,138,144,133,149,NA,NA,255,255,257,265,89,91,182,182,228,228,233,233
7877,7,-38.80172,177.165219,M,bl,140,140,133,155,264,278,255,255,269,269,NA,NA,166,186,228,250,NA,NA
7878,7,-38.807595,177.16362,M,bl,140,140,133,133,258,258,255,259,257,265,85,89,182,186,248,250,231,233
7879,7,-38.799061,177.166917,F,bl,138,138,133,133,258,258,NA,NA,255,255,89,89,166,186,228,228,223,233
7880,7,-38.807343,177.162384,M,br,138,140,133,133,258,270,255,255,255,257,87,87,166,186,248,250,227,233
7881,7,-38.812897,177.168857,F,br,138,144,149,155,258,258,255,259,255,265,87,87,182,182,228,248,223,235
7882,7,-38.808615,177.162355,F,bl,140,142,133,133,258,278,NA,NA,257,261,85,91,166,166,250,250,223,223
7883,7,-38.801755,177.163262,M,bl,138,140,133,133,258,276,255,259,255,261,85,89,166,186,250,250,227,235
7884,7,-38.802194,177.163853,M,bl,136,138,133,149,258,258,NA,NA,257,261,85,89,166,166,228,228,223,227
7885,7,-38.807483,177.165723,F,bl,138,144,NA,NA,NA,NA,255,255,NA,NA,87,91,NA,NA,220,228,223,233
7886,7,-38.81016,177.166009,M,bl,134,138,149,153,258,258,NA,NA,255,255,89,89,166,166,NA,NA,233,233
7887,7,-38.802183,177.164659,F,br,136,140,133,149,NA,NA,263,263,NA,NA,NA,NA,NA,NA,220,220,233,233
7888,7,-38.808606,177.162355,F,br,140,140,133,133,NA,NA,255,255,NA,NA,89,91,178,186,248,248,233,235
7889,7,-38.805298,177.164786,M,br,136,140,NA,NA,NA,NA,NA,NA,NA,NA,85,89,178,180,228,248,223,235
7890,7,-38.804837,177.164817,F,bl,136,140,133,155,258,278,255,255,255,257,85,89,166,186,NA,NA,235,235
7891,7,-38.804506,177.164762,M,bl,136,144,133,149,258,258,259,259,265,269,NA,NA,178,180,228,228,NA,NA
7892,7,-38.803448,177.162844,M,br,138,142,155,155,258,258,255,255,265,269,87,91,186,186,228,248,223,227
7893,7,-38.802854,177.163558,F,br,138,140,133,149,258,270,255,255,255,257,87,89,NA,NA,228,228,223,233
7895,7,-38.799927,177.167418,M,br,140,144,153,155,NA,NA,255,255,255,255,89,91,166,166,NA,NA,223,231
7897,7,-38.801709,177.165276,M,bl,134,144,133,149,NA,NA,255,255,NA,NA,NA,NA,166,178,228,228,223,235
7898,7,-38.801979,177.162572,M,bl,140,144,133,149,NA,NA,NA,NA,269,269,NA,NA,166,186,228,228,223,231
6540,8,-39.040638,177.166204,M,bl,140,140,133,151,264,278,255,255,261,261,85,85,166,166,228,228,231,233
6541,8,-39.04132,177.165054,F,bl,138,138,133,133,NA,NA,255,255,219,257,85,85,166,166,228,248,223,223
6542,8,-39.041772,177.165023,M,bl,138,140,133,153,258,276,NA,NA,NA,NA,87,89,NA,NA,228,228,223,235
6544,8,-39.043747,177.164274,F,gr,136,136,153,153,270,276,255,287,259,269,89,89,166,180,228,228,227,231
6545,8,-39.044078,177.16434,F,bl,NA,NA,133,155,276,278,255,255,257,265,89,89,180,186,228,228,237,237
6546,8,-39.04441,177.164625,M,bl,136,140,133,149,256,256,255,255,255,269,89,89,186,186,248,248,227,233
6547,8,-39.044887,177.164665,M,bl,136,144,133,153,264,276,255,255,257,267,89,89,182,186,NA,NA,227,227
6548,8,-39.044887,177.164665,F,bl,136,138,133,149,266,278,299,303,257,261,83,89,178,186,228,228,235,237
6549,8,-39.045491,177.165407,M,bl,136,144,133,133,264,264,255,255,257,269,85,89,NA,NA,228,248,223,231
6550,8,-39.045491,177.165407,M,bl,126,140,NA,NA,258,264,NA,NA,259,269,93,97,NA,NA,228,248,227,233
6551,8,-39.045491,177.165407,F,bl,136,144,133,149,264,278,255,287,255,257,85,91,166,178,228,248,223,227
6552,8,-39.048038,177.173261,M,gr,138,140,145,153,258,278,NA,NA,NA,NA,NA,NA,NA,NA,228,248,223,235
6553,8,-39.046521,177.168822,F,gr,138,144,149,155,264,266,255,255,219,267,NA,NA,176,184,228,248,NA,NA
6554,8,-39.046567,177.169068,M,gr,138,144,149,155,264,266,255,255,219,267,89,91,178,186,228,248,223,233
6555,8,-39.046798,177.169648,F,bl,136,140,133,133,264,278,255,259,257,265,85,89,166,180,228,248,223,227
6556,8,-39.046874,177.170046,M,bl,136,138,133,133,276,276,NA,NA,255,269,89,89,166,166,NA,NA,223,223
6557,8,-39.046774,177.170572,F,gr,136,140,133,133,258,280,259,299,NA,NA,89,89,182,182,228,248,223,227
6558,8,-39.047321,177.171634,M,gr,140,140,133,145,264,264,255,255,257,269,87,89,182,182,248,248,223,233
6559,8,-39.047507,177.172709,F,bl,126,140,133,133,258,278,255,255,241,257,75,91,162,180,248,250,223,223
6560,8,-39.047498,177.172708,M,gr,138,138,133,149,258,264,NA,NA,241,257,NA,NA,186,186,228,250,223,231
6561,8,-39.04757,177.172713,F,bl,138,138,133,133,258,278,255,255,NA,NA,87,87,NA,NA,228,228,227,237
6562,8,-39.048038,177.173261,F,bl,140,144,133,133,258,276,NA,NA,NA,NA,NA,NA,NA,NA,230,248,223,227
6563,8,-39.048621,177.175065,M,bl,126,138,133,133,276,278,255,255,257,267,89,89,178,182,228,228,223,223
6564,8,-39.04839,177.175468,F,bl,136,140,133,133,258,264,255,255,257,257,75,89,160,166,248,248,223,223
6565,8,-39.048977,177.180152,F,bl,136,144,133,153,258,280,255,259,NA,NA,NA,NA,NA,NA,228,248,223,223
6566,8,-39.049459,177.180794,F,bl,136,144,133,153,266,276,255,255,265,265,89,89,166,186,228,228,223,227
6567,8,-39.050094,177.181676,F,bl,138,138,NA,NA,258,264,255,255,NA,NA,85,89,166,186,228,248,223,233
6568,8,-39.05015,177.181876,F,bl,138,138,NA,NA,278,278,255,255,219,267,NA,NA,178,186,228,228,223,235
6569,8,-39.051363,177.182249,M,bl,136,138,133,133,258,278,255,255,257,269,83,89,NA,NA,228,228,227,233
6570,8,-39.051589,177.182483,F,bl,138,142,133,153,258,278,255,255,239,263,89,89,166,182,228,248,223,227
6571,8,-39.046521,177.168822,M,bl,140,140,133,133,276,278,255,255,269,269,89,89,166,166,248,248,231,231
6572,8,-39.051353,177.18226,F,bl,138,138,133,133,258,278,255,255,257,269,85,89,NA,NA,228,248,233,233
6573,8,-39.049087,177.177637,M,gr,126,136,133,133,276,278,NA,NA,257,269,NA,NA,NA,NA,248,248,231,233
6574,8,-39.050152,177.181818,M,bl,138,144,133,133,258,278,275,303,265,269,NA,NA,166,166,NA,NA,223,231
6576,8,-39.048611,177.174614,F,bl,138,138,NA,NA,264,276,255,255,257,269,87,89,186,186,228,228,233,237
6577,8,-39.048299,177.17426,M,bl,138,140,133,153,258,258,255,299,259,261,89,91,NA,NA,228,248,223,223
6578,8,-39.048345,177.174239,M,bl,136,142,133,133,264,278,NA,NA,NA,NA,NA,NA,178,178,248,248,223,235
6579,8,-39.047339,177.171646,F,bl,138,144,133,153,264,264,NA,NA,257,257,NA,NA,178,186,228,248,223,223
6580,8,-39.046754,177.170605,M,bl,136,144,133,153,258,278,255,259,259,261,89,89,166,190,228,228,223,235
6581,8,-39.046754,177.170605,F,bl,126,138,149,153,258,270,NA,NA,259,269,NA,NA,NA,NA,230,248,227,233
6582,8,-39.046515,177.168995,F,bl,136,138,133,133,276,278,255,255,257,261,89,89,NA,NA,228,228,223,227
6583,8,-39.046325,177.168776,F,bl,140,140,133,133,258,276,255,255,261,269,85,91,166,166,228,248,235,235
6584,8,-39.046081,177.167292,M,bl,NA,NA,133,149,NA,NA,255,255,257,269,89,91,180,186,248,248,223,227
6585,8,-39.045284,177.165649,M,gr,144,144,133,133,258,258,NA,NA,255,259,NA,NA,166,176,228,248,223,235
6586,8,-39.045636,177.164884,F,bl,136,144,149,153,278,278,NA,NA,NA,NA,NA,NA,166,186,228,228,233,233
6587,8,-39.045636,177.164884,M,bl,136,138,NA,NA,NA,NA,255,255,257,265,89,95,NA,NA,228,248,223,235
6588,8,-39.045636,177.164884,M,bl,140,144,133,133,264,276,255,287,241,265,89,91,166,182,228,248,223,227
6589,8,-39.044926,177.164841,M,gr,140,144,133,149,264,278,255,255,265,269,83,91,178,182,228,248,223,231
6590,8,-39.044925,177.164853,F,bl,136,140,133,145,264,270,255,255,265,269,85,89,NA,NA,228,248,231,235
6592,8,-39.044075,177.164432,F,bl,138,138,133,145,258,278,259,259,NA,NA,93,97,NA,NA,228,228,223,227
6593,8,-39.042509,177.163332,F,bl,126,140,133,133,258,276,255,255,257,265,NA,NA,166,178,228,248,223,223
6594,8,-39.041973,177.164434,M,bl,144,144,133,149,258,258,255,255,257,271,87,89,166,182,228,250,233,235
6595,8,-39.043676,177.164246,F,gr,136,136,133,153,270,278,NA,NA,219,259,NA,NA,NA,NA,NA,NA,229,231
6596,8,-39.043062,177.164753,M,bl,140,140,133,133,258,278,NA,NA,NA,NA,89,89,NA,NA,248,248,223,223
6597,8,-39.041653,177.164819,M,gr,138,140,143,151,258,258,255,255,257,265,87,89,NA,NA,248,248,223,227
6598,8,-39.042901,177.168455,M,bl,136,144,145,153,264,264,255,255,257,269,85,89,166,186,228,248,223,227
6599,8,-39.043109,177.168179,F,bl,136,144,145,147,264,276,255,255,255,269,NA,NA,180,182,228,248,NA,NA
6600,8,-39.042459,177.167446,M,gr,140,140,133,153,276,278,255,255,257,259,85,89,178,180,228,248,231,233
6828,9,-38.936819,177.289621,F,bl,138,138,149,149,264,276,255,255,257,259,87,89,178,178,228,248,223,223
6829,9,-38.933764,177.288579,F,br,138,142,145,155,258,264,255,255,259,269,89,91,166,166,228,252,231,235
6831,9,-38.938246,177.287376,M,br,138,144,133,153,258,264,255,259,255,255,87,89,166,166,248,248,235,235
6833,9,-38.938568,177.288654,M,br,138,142,133,153,264,278,NA,NA,255,269,89,89,166,166,248,248,229,235
6834,9,-38.938812,177.287942,F,bl,136,138,133,149,264,270,255,255,255,271,85,91,166,166,248,250,223,227
6836,9,-38.944905,177.275219,M,br,130,144,133,133,264,276,255,259,255,269,87,87,166,166,228,228,227,227
6837,9,-38.949847,177.275209,M,br,138,140,133,145,264,276,255,255,257,269,89,91,166,166,228,228,NA,NA
6838,9,-38.95032,177.271947,M,br,NA,NA,133,153,NA,NA,255,255,NA,NA,87,87,166,166,248,248,223,231
6839,9,-38.950078,177.262461,M,br,138,144,133,133,NA,NA,255,259,255,269,87,87,166,166,228,228,223,235
6840,9,-38.948672,177.265101,F,bl,138,138,133,149,270,278,255,255,219,271,87,89,166,166,248,250,223,235
6841,9,-38.944213,177.278283,M,br,140,144,133,133,258,264,255,259,255,255,85,85,166,166,228,248,223,223
6842,9,-38.950825,177.280178,F,br,142,144,133,133,264,264,255,255,255,259,89,89,166,166,228,248,223,235
6843,9,-38.951603,177.27989,F,bl,144,144,133,133,264,278,NA,NA,261,269,89,89,166,166,228,228,223,235
6845,9,-38.952248,177.279017,F,bl,138,144,133,149,NA,NA,NA,NA,NA,NA,89,91,NA,NA,228,228,233,233
6846,9,-38.953446,177.279321,M,bl,138,138,133,149,276,278,255,255,219,257,91,91,166,166,228,228,233,235
6847,9,-38.953064,177.279633,M,br,136,138,149,149,NA,NA,NA,NA,255,271,89,91,166,166,NA,NA,223,227
6848,9,-38.946117,177.27609,M,bl,138,140,133,149,264,278,255,255,257,271,91,91,166,166,220,228,223,235
6849,9,-38.945764,177.275641,M,bl,144,146,133,133,264,276,255,287,241,269,89,89,166,166,250,250,227,235
6851,9,-38.950028,177.273985,F,bl,138,138,NA,NA,256,256,255,255,261,269,89,89,166,166,228,248,223,233
6852,9,-38.950165,177.271521,F,bl,138,140,133,153,258,278,255,259,265,269,85,89,166,166,228,248,223,223
6853,9,-38.950146,177.262327,M,bl,138,144,145,153,270,278,255,255,255,259,85,89,166,166,228,228,223,233
6854,9,-38.950365,177.262999,M,bl,130,138,133,133,NA,NA,NA,NA,255,263,87,89,NA,NA,228,228,231,233
6855,9,-38.95052,177.266588,M,bl,140,144,133,153,276,278,255,255,265,269,87,89,166,166,248,248,223,235
6856,9,-38.943428,177.270082,M,br,138,140,133,133,258,276,255,291,261,271,85,89,166,166,228,228,223,223
6857,9,-38.94952,177.266308,F,bl,138,140,133,149,264,278,255,259,255,255,87,87,166,166,250,252,223,223
