ind,pop,lat,long,sex,color,AT16a,AT16b,AT58a,AT58b,AT19a,AT19b,AM5_64a,AM5_64b,AT53a,AT53b,B38_1a,B38_1b,CorAT64a,CorAT64b,PnMs16a,PnMs16b,TvM1a,TvM1b
5218,2,-39.081491,177.094955,F,gr,126,136,133,145,266,278,255,255,261,265,89,89,NA,NA,NA,NA,NA,NA
5634,2,-39.081653,177.092431,F,gr,138,142,133,133,258,276,NA,NA,257,269,87,89,166,166,228,228,NA,NA
6232,2,-39.071757,177.122032,M,gr,126,138,133,139,278,278,255,299,261,267,89,89,166,186,228,250,227,227
6233,2,-39.070595,177.122229,F,gr,140,144,133,133,278,278,255,255,259,261,85,85,186,186,240,254,227,235
6234,2,-39.07109,177.121761,F,gr,NA,NA,NA,NA,276,276,255,255,NA,NA,81,87,166,166,228,228,NA,NA
6235,2,-39.071173,177.121465,F,gr,136,136,145,147,266,270,255,255,221,269,NA,NA,166,186,228,248,231,233
6236,2,-39.070462,177.112863,M,gr,130,138,133,145,278,278,NA,NA,219,251,NA,NA,NA,NA,NA,NA,231,233
6237,2,-39.070014,177.121084,M,bl,130,136,133,133,266,276,255,259,221,267,79,93,NA,NA,228,250,NA,NA
6240,2,-39.071885,177.122467,F,gr,136,142,133,133,264,276,255,259,261,267,NA,NA,NA,NA,228,248,NA,NA
6242,2,-39.071368,177.122055,M,gr,136,138,133,133,278,278,255,287,257,261,79,85,NA,NA,228,242,225,229
6246,2,-39.081668,177.098321,F,gr,138,144,133,133,278,294,255,255,219,221,75,83,NA,NA,228,228,NA,NA
6247,2,-39.081898,177.094678,M,bl,126,138,133,151,270,276,NA,NA,257,269,NA,NA,NA,NA,228,228,NA,NA
6249,2,-39.080769,177.097747,M,bl,140,140,133,133,264,278,NA,NA,241,269,NA,NA,186,196,228,228,NA,NA
6250,2,-39.081112,177.098242,F,gr,NA,NA,NA,NA,276,276,255,287,NA,NA,89,89,166,186,228,228,229,231
7567,2,-39.072407,177.107911,M,gr,126,132,133,145,270,276,255,255,241,257,83,83,186,186,228,238,227,229
7568,2,-39.073144,177.110002,F,bl,140,144,133,151,270,276,255,287,261,269,81,85,NA,NA,228,228,NA,NA
7570,2,-39.070934,177.112532,F,bl,NA,NA,NA,NA,264,278,255,287,NA,NA,91,93,166,170,228,228,227,231
7571,2,-39.071429,177.112804,M,gr,NA,NA,NA,NA,276,278,NA,NA,NA,NA,85,85,166,178,228,228,223,227
7573,2,-39.070259,177.113001,M,gr,136,138,133,139,270,276,255,255,257,269,75,83,166,166,228,228,227,233
7574,2,-39.071407,177.112178,M,br,126,136,133,133,266,276,255,299,241,267,83,87,166,186,228,248,229,235
7581,2,-39.081524,177.091498,M,gr,136,136,145,147,270,278,255,255,241,257,83,91,182,186,228,248,227,231
7590,2,-39.080884,177.091495,M,br,138,140,133,133,278,278,255,259,265,265,75,83,166,186,228,228,223,229
7596,2,-39.081134,177.093083,M,gr,136,138,133,133,258,278,255,255,239,269,75,83,182,186,228,228,NA,NA
7598,2,-39.080096,177.092606,F,gr,126,136,133,147,276,276,255,255,265,271,87,89,176,182,228,228,229,235
7703,2,-39.078902,177.089666,M,bl,126,140,139,145,276,278,259,259,259,261,75,87,166,186,228,248,229,229
7704,2,-39.079167,177.090827,F,bl,NA,NA,NA,NA,266,276,255,255,NA,NA,83,87,166,186,228,248,NA,NA
7706,2,-39.080982,177.090251,M,bl,NA,NA,NA,NA,264,278,255,287,NA,NA,87,93,166,186,228,248,231,233
7707,2,-39.07941,177.090101,F,gr,136,140,139,151,264,278,255,299,259,261,83,85,186,186,228,228,227,233
7711,2,-39.082303,177.094193,F,bl,130,130,133,133,270,276,255,259,219,261,89,89,180,180,228,228,223,229
7712,2,-39.080331,177.089565,M,bl,130,138,133,145,278,278,255,255,255,261,83,95,178,186,228,248,223,227
7716,2,-39.082608,177.091943,M,gr,136,140,139,145,264,270,287,291,219,219,75,83,166,176,244,248,227,231
7754,2,-39.080008,177.097356,M,gr,126,138,133,153,264,278,255,299,241,255,85,85,166,178,228,248,223,227
7755,2,-39.070031,177.113821,M,gr,136,136,133,139,264,278,255,255,257,261,NA,NA,NA,NA,NA,NA,NA,NA
7757,2,-39.074916,177.110118,M,gr,136,138,133,133,264,270,255,291,259,261,83,83,166,186,228,248,233,237
7758,2,-39.072058,177.111869,F,gr,130,140,133,133,258,270,255,255,219,257,75,89,166,186,228,230,229,235
7759,2,-39.081563,177.089406,M,gr,138,138,133,133,276,278,NA,NA,257,257,77,89,NA,NA,228,228,NA,NA
